;cluster;metric;transform;count;share
0;0;mape;log;2;0.11764705882352941
1;0;mape;none;15;0.8823529411764706
2;0;mase;log;2;0.11764705882352941
3;0;mase;none;15;0.8823529411764706
4;0;smape;log;2;0.11764705882352941
5;0;smape;none;15;0.8823529411764706
6;1;mape;log;2;0.14285714285714285
7;1;mape;none;12;0.8571428571428571
8;1;mase;log;2;0.14285714285714285
9;1;mase;none;12;0.8571428571428571
10;1;smape;log;2;0.14285714285714285
11;1;smape;none;12;0.8571428571428571
12;2;mape;boxcox;1;0.3333333333333333
13;2;mape;none;2;0.6666666666666666
14;2;mase;boxcox;1;0.3333333333333333
15;2;mase;diff;1;0.3333333333333333
16;2;mase;none;1;0.3333333333333333
17;2;smape;boxcox;1;0.3333333333333333
18;2;smape;diff;1;0.3333333333333333
19;2;smape;none;1;0.3333333333333333
20;3;mape;diff;3;0.25
21;3;mape;none;9;0.75
22;3;mase;diff;3;0.25
23;3;mase;none;9;0.75
24;3;smape;diff;3;0.25
25;3;smape;none;9;0.75
26;4;mape;diff;2;0.09090909090909091
27;4;mape;log;2;0.09090909090909091
28;4;mape;none;18;0.8181818181818182
29;4;mase;diff;3;0.13636363636363635
30;4;mase;log;2;0.09090909090909091
31;4;mase;none;17;0.7727272727272727
32;4;smape;diff;3;0.13636363636363635
33;4;smape;log;2;0.09090909090909091
34;4;smape;none;17;0.7727272727272727
35;5;mape;none;1;1.0
36;5;mase;none;1;1.0
37;5;smape;none;1;1.0
38;6;mape;diff;5;0.18518518518518517
39;6;mape;log;3;0.1111111111111111
40;6;mape;none;19;0.7037037037037037
41;6;mase;diff;6;0.2222222222222222
42;6;mase;log;2;0.07407407407407407
43;6;mase;none;19;0.7037037037037037
44;6;smape;diff;6;0.2222222222222222
45;6;smape;log;2;0.07407407407407407
46;6;smape;none;19;0.7037037037037037
47;7;mape;log;1;0.25
48;7;mape;none;3;0.75
49;7;mase;log;1;0.25
50;7;mase;none;3;0.75
51;7;smape;log;1;0.25
52;7;smape;none;3;0.75
